模块	用户触发词	入口类型	前置条件	缺失时追问/引导	MD路由逻辑	对应脚本	输入字段	输出结果	状态文件/数据表	成功话术	失败话术	是否需要用户确认	优先级	测试状态	负责人	备注
抖音自动发布	发布抖音/发布视频/字段化发布任务	飞书/OpenClaw/内部调用	抖音已登录；有视频地址；有标题；可选封面和tags	抖音需要重新登录。请在电脑端打开飞书，用手机抖音 App 准备扫码。准备好后回复：发送二维码	检查登录；下载素材；填写标题、封面、tags；点击发布并确认结果	scripts/publish-task.js / scripts/prepare-upstream-publish-task.js / scripts/feishu-reply-watcher.js	videoUrl, coverUrl, title, tags, publishTime	发布成功/失败；作品记录	发布记录；飞书多维表	发布成功。	发布失败，请查看页面提示或重新发送可用视频。	否	P0	已实测	Codex	现有能力已跑通；封面和tags需保持稳定
登录守卫	发布抖音/发送二维码/已登录/6位验证码	飞书/OpenClaw	抖音登录态可能有效或失效	请在电脑端飞书查看二维码，用手机抖音扫码。	检测登录状态；二维码只在用户准备好后发送；短信/安全验证按状态处理	scripts/douyin-login-monitor.js / scripts/feishu-reply-watcher.js	用户消息, loginState	登录成功/等待扫码/等待短信/loginState	浏览器profile	登录成功，请发送视频。	仍未登录，请扫码并确认；二维码过期请回复：发送二维码。	是	P0	已实测	Codex	二维码发送前要取最新二维码，不能刷新整页误操作
数据更新	更新数据/同步数据	飞书/OpenClaw/定时	抖音已登录；飞书多维表有写权限	请重新登录抖音或重新授权多维表权限。	抓取抖音最新作品和账号数据；写入多维表	scripts/sync-douyin-data-to-feishu-bitable.js	days	多维表记录；同步摘要	飞书多维表	数据已更新：近N天，作品X条。	数据更新失败，请检查登录或多维表权限。	否	P0	已实测	Codex	已修复飞书app选择优先级
数据报告/增强分析	数据报告/数据分析/查看数据	飞书/OpenClaw/定时	多维表有数据；模型API可用	请先发送：更新数据	先同步最新数据；再从多维表生成基础报告和增强分析	scripts/douyin-data-report-from-bitable.js / scripts/douyin-next-video-plan-from-bitable.js	days	基础报告；增强分析；下一条视频方案	飞书多维表；reports目录	每日数据报告已生成。	数据报告生成失败，请稍后重试。	否	P0	已实测	Codex	当前已支持MiniMax增强分析
生成下一条视频方案	生成下一条视频/内容方案/具体文案	飞书/OpenClaw/定时	多维表有近期数据；已有人设更佳	请先完成数据更新和人设定位。	基于数据、人设和历史表现生成下一条标题/脚本/封面文案/tags	scripts/douyin-next-video-plan-from-bitable.js	days, persona	选题、标题、口播脚本、画面建议、digitalHumanInput	reports目录/多维表	下一条视频方案已生成。	方案生成失败，请稍后重试。	否	P0	已实测部分	Codex/mentor	已读取已确认人设并注入视频方案 prompt；输出含 personaUsed/personaSummary 便于验证
自动回复评论	自动回复评论/回复评论	飞书/OpenClaw/定时	抖音已登录；新增未回复评论可读取	请重新登录抖音后再试。	读取创作者中心新增未回复评论；跳过自己的评论和作者已回复评论；按内容生成回复	scripts/douyin-auto-reply.js / scripts/douyin-comment-reply.js	limit, commentQueue	回复条数；跳过原因	auto-reply-state.json	自动回复完成：评论X条，私信0条。	自动回复失败，请稍后重试。	否	P0	已实测	Codex	已加浏览器瞬时错误重试；评论筛选失败时回退到可见评论作者回复检测
自动回复私信	自动回复私信/回复私信	飞书/OpenClaw/定时	抖音已登录；私信页可读取	请重新登录抖音后再试。	读取未读/最新私信；跳过自己已回复会话；按内容生成回复	scripts/douyin-auto-reply.js / scripts/douyin-dm-reply.js	limit	回复条数；跳过原因	auto-reply-state.json	自动回复完成：评论0条，私信Y条。	自动回复失败，请稍后重试。	否	P0	已实测	Codex	11:44失败原因已修：页面导航瞬时错误重试
定时任务配置	定时任务/修改定时任务 自动回复30分钟/修改定时任务 自动化营销07:30	飞书/OpenClaw	本地supervisor运行	请说明要修改自动回复频率还是自动化营销时间。	解析自然语言时间；写入本地scheduler配置	scripts/douyin-schedule-manager.js	every, dailyTime	定时配置	schedule-config.json	定时任务已更新。	时间格式不清楚，请这样说：修改定时任务 自动化营销 07:30	否	P0	已实测	Codex	默认本地scheduler，不依赖OpenClaw cron；数据报告按需触发，不默认每日显性通知
每日自动化营销流水线	每天7点半自动化营销/开启每日自动发布/每日自动化营销	定时任务	已开启营销；已有人设；数字人已绑定客户/训练后的modelId，或明确使用默认demo modelId；抖音已登录；多维表可读写	自动化营销前置条件不足，请先完成人设和数字人形象。	定时触发：数据更新→视频方案；默认在审核节点停在方案确认，用户确认方案后再成片、确认视频后再发布；只有用户显式开启自动确认时才继续一键成片→字段化任务→抖音发布入口	scripts/marketing-controller.js daily-run / scripts/douyin-schedule-manager.js tick-marketing-daily	persona, modelId, schedule, days, confirmationMode	待确认视频方案或新视频发布流程启动；待人工登录/验证时暂停提醒	automation-marketing-state.json/schedule-config.json	老板，您的视频方案已生成，请您审核。	今日自动化营销中断，请查看缺失条件。	默认需要确认	P0	已实现并更新测试；完整营销飞书链路dry-run通过；真实成片通过	Codex	默认07:30；按mentor文档保留人设/方案/视频审核节点，自动确认只在用户显式开启后使用
发布后观测	发布成功后自动观测/内部触发	定时/内部调用	作品已发布	无需用户操作。	发布成功后定时更新数据；观察播放、完播、评论、私信	scripts/sync-douyin-data-to-feishu-bitable.js / scripts/douyin-auto-reply.js	publishedWorkId, days	数据记录；互动回复	飞书多维表/auto-reply-state.json	发布后数据已开始观测。	观测失败，请检查登录状态。	否	P1	部分已实测	Codex	要和具体作品ID绑定
状态查询	当前状态/自动化营销状态/任务进度	飞书/OpenClaw/网页	无	无	读取本地状态，汇总人设、modelId、定时、最近视频	scripts/marketing-controller.js status	none	状态摘要	automation-marketing-state.json/persona-state.json	当前状态如下：...	状态读取失败，请稍后重试。	否	P1	已实现	Codex	给用户和mentor排查用
关闭自动化营销	关闭自动化营销/暂停自动发布	飞书/OpenClaw/网页	已开启或未开启均可	无	关闭营销总控和每日自动化营销本地定时，但不删除人设和modelId	scripts/marketing-controller.js disable	none	自动化关闭	automation-marketing-state.json/schedule-config.json	自动化营销已暂停。	关闭失败，请稍后重试。	否	P1	已实现	Codex	保留数据和状态，方便恢复
